study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Chen2017a	all	12.0	NA	species	12.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Chen2017a	all	12.0	NA	healthy	12.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Chen2017a	all	12.0	NA	ethnicity	12.0	NA	chinese	NA	NA	NA	NA	NA	NA	NA	NA
Chen2017a	all	12.0	NA	medication	12.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Chen2017a	all	12.0	NA	sex	6.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Chen2017a	all	12.0	NA	sex	6.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Chen2017a	all	12.0	NA	overnight fast	12.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Chen2017a	all	12.0	NA	age	12.0	NA	NA	31.0	31.0	7.3	NA	21.0	43.0	yr	NA
Chen2017a	all	12.0	NA	height	12.0	NA	NA	166.0	NA	8.7	NA	149.0	176.0	cm	NA
Chen2017a	all	12.0	NA	weight	12.0	NA	NA	61.8	62.2	4.21	NA	53.0	67.9	kg	NA
Chen2017a	all	12.0	NA	bmi	12.0	NA	NA	22.6	22.6	1.84	NA	19.4	25.8	kg/m^2	NA
Chen2017a	chinese_male	6.0	all	sex	6.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
